	X1(t)	X2(t)	X3(t)	X4(t)	X5(t) ver.1	X5(t) ver.2
0.187	4.7044	-2.1289	4.99753	-3.06454	4.5085	4.51E+00
0.188	4.52414	-1.69369	4.96057	-3.42274	4.36828	4.37E+00
0.189	4.30371	-1.24345	4.87958	-3.75056	4.18929	4.19E+00
0.19	4.04508	-0.782172	4.75528	-4.04508	3.97311	3.97E+00
0.191	3.75056	-0.313953	4.58877	-4.30371	3.72167	3.72E+00
0.192	3.42274	0.157054	4.38153	-4.52414	3.43719	3.44E+00
0.193	3.06454	0.626666	4.1354	-4.7044	3.1222	3.12E+00
0.194	2.67913	1.09072	3.85257	-4.84292	2.7795	2.78E+00
0.195	2.26995	1.54508	3.53553	-4.93844	2.41213	2.41E+00
0.196	1.84062	1.98574	3.18712	-4.99013	2.02335	2.02E+00
0.197	1.39496	2.40877	2.81042	-4.99753	1.61661	1.62E+00
0.198	0.936907	2.81042	2.40877	-4.96057	1.19552	1.20E+00
0.199	0.470542	3.18712	1.98574	-4.87958	0.763817	7.64E-01
